Date,Campaign type,Impressions,Clicks,Spend,Conversions,Revenue,Source,Reach,Channel,Sessions,Website Conversions,CTR,CPC,CVR,ROAS,day_of_week,is_weekend,month,quarter,Spend_lag_1,Spend_lag_7,Spend_lag_30,Clicks_lag_1,Clicks_lag_7,Clicks_lag_30,Spend_rolling_7d,Spend_rolling_30d,Clicks_rolling_7d,Clicks_rolling_30d,Impressions_rolling_7d,Impressions_rolling_30d,Conversions_rolling_7d,Conversions_rolling_30d,Revenue_rolling_7d,Revenue_rolling_30d,CTR_vs_mean,CVR_vs_mean,ROAS_vs_mean,Source_encoded,Campaign_type_encoded,is_high_spend_day
2024-01-08,Search Network,3655.0,437.0,947.8,54.6,11383.4,Google Ads,0.0,0.0,0.0,0.0,0.11956224350205198,2.168878718535469,0.12494279176201373,12.010339734121123,0,0,1,1,0.0,120.1,656.3,0.0,1.0,896.0,374.6714285714285,503.6933333333333,262.85714285714283,290.7,27611.0,36892.96666666667,18.1,9.866666666666667,3666.9285714285716,1986.2,6.7295345992994635,0.0,4.966441571201061,0,5,0
2024-01-08,YouTube,38573.0,5.0,119.6,0.0,0.0,Google Ads,0.0,0.0,0.0,0.0,0.0001296243486376481,23.919999999999998,0.0,0.0,0,0,1,1,947.8,324.5,0.0,437.0,484.0,0.0,345.4,507.68,194.42857142857142,290.8666666666667,23718.285714285714,38178.63333333333,15.757142857142858,9.866666666666667,3175.2428571428572,1986.2,0.007295877975506023,0.0,0.0,0,7,0
2024-01-09,Cross-network,108980.0,751.0,969.1,33.3,7902.4,Google Ads,0.0,0.0,0.0,0.0,0.006891172692237108,1.2904127829560585,0.04434087882822903,8.154370034052214,1,0,1,1,119.6,0.0,496.5,5.0,0.0,251.0,483.8428571428571,523.4333333333333,301.7142857142857,307.53333333333336,39286.142857142855,41687.933333333334,20.514285714285716,10.826666666666666,4304.157142857142,2230.4,0.38786814050843194,0.0,3.3719447759682084,0,1,0
2024-01-09,Search Network,4013.0,456.0,1080.4,35.5,6906.1,Google Ads,0.0,0.0,0.0,0.0,0.11363070022427112,2.3692982456140355,0.07785087719298246,6.392169566827101,1,0,1,1,0.0,119.3,1525.0,0.0,4.0,1172.0,562.2857142857143,504.7733333333333,328.0,283.4,34009.28571428572,34498.36666666667,23.157142857142855,11.716666666666667,4859.457142857143,2341.7466666666664,6.39567898948579,0.0,2.643250513277798,0,5,0
2024-01-09,YouTube,38372.0,3.0,119.6,0.0,0.0,Google Ads,0.0,0.0,0.0,0.0,7.81820077139581e-05,39.86666666666667,0.0,0.0,1,0,1,1,1080.4,819.1,0.0,456.0,647.0,0.0,462.35714285714283,508.76,236.0,283.5,27658.285714285714,35777.166666666664,17.62857142857143,11.716666666666667,3741.7,2341.7466666666664,0.00440045712210769,0.0,0.0,0,7,0
2024-01-10,Cross-network,156835.0,988.0,1393.1,60.0,12345.6,Google Ads,0.0,0.0,0.0,0.0,0.006299614244269455,1.4100202429149797,0.06072874493927125,8.861962529610222,2,0,1,1,119.6,0.0,1256.8,3.0,0.0,492.0,661.3714285714285,513.3033333333334,377.14285714285717,300.03333333333336,50062.142857142855,40812.86666666667,26.2,13.403333333333334,5505.357142857143,2711.06,0.35457240327146805,0.0,3.664544058187127,0,1,0
2024-01-10,Search Network,4477.0,536.0,1410.3,58.7,13761.6,Google Ads,0.0,0.0,0.0,0.0,0.1197230288139379,2.63115671641791,0.10951492537313433,9.757923845990215,2,0,1,1,0.0,119.6,1342.4,0.0,5.0,988.0,710.3571428571429,511.56,390.57142857142856,284.8333333333333,44670.28571428572,34223.76666666667,26.785714285714285,14.683333333333334,5845.099999999999,3086.0766666666664,6.738584365243148,0.0,4.035036452770771,0,5,0
2024-01-10,YouTube,36964.0,1.0,118.1,0.0,0.0,Google Ads,0.0,0.0,0.0,0.0,2.7053349204631533e-05,118.1,0.0,0.0,2,0,1,1,1410.3,969.1,0.0,536.0,751.0,0.0,588.7857142857143,515.4966666666667,283.42857142857144,284.8666666666667,34382.28571428572,35455.566666666666,22.02857142857143,14.683333333333334,4716.185714285714,3086.0766666666664,0.001522691814463769,0.0,0.0,0,7,0
2024-01-11,Cross-network,236943.0,1455.0,2028.8,58.5,8877.8,Google Ads,0.0,0.0,0.0,0.0,0.006140717387726162,1.3943642611683849,0.04020618556701031,4.375887223974763,3,0,1,1,118.1,0.0,1639.8,1.0,0.0,536.0,878.6142857142856,528.4633333333333,491.2857142857143,315.5,68230.28571428571,43155.333333333336,30.385714285714283,16.14,5984.442857142857,3262.853333333333,0.3456289286217166,0.0,1.8094898813140183,0,1,0
2024-01-11,Search Network,5090.0,509.0,1118.8,48.5,11203.3,Google Ads,0.0,0.0,0.0,0.0,0.1,2.1980353634577603,0.09528487229862476,10.013675366464069,3,0,1,1,0.0,119.6,1118.6,0.0,3.0,812.0,867.0142857142856,524.45,498.42857142857144,305.3,62904.28571428572,37899.666666666664,32.24285714285714,17.16,6598.328571428572,3423.6433333333334,5.6284780229838764,0.0,4.140793243277761,0,5,0
