Date,Campaign type,Impressions,Clicks,Spend,Conversions,Revenue,Source,Reach,Channel,Sessions,Website Conversions,CTR,CPC,CVR,ROAS,day_of_week,is_weekend,month,quarter,Impressions_lag_1,Impressions_lag_7,Impressions_lag_30,Clicks_lag_1,Clicks_lag_7,Clicks_lag_30,Spend_lag_1,Spend_lag_7,Spend_lag_30,Conversions_lag_1,Conversions_lag_7,Conversions_lag_30,Revenue_lag_1,Revenue_lag_7,Revenue_lag_30,SP500,Is_Anomaly
2024-01-01,Cross-network,143669.0,896.0,656.3,6.5,1410.3,Google Ads,0.0,0.0,0.0,0.0,0.006236557642915312,0.7324776785714285,0.007254464285714286,2.1488648483925035,0,0,1,1,,,,,,,,,,,,,,,,,False
2024-01-01,Display Network,3.0,0.0,0.0,0.0,0.0,Google Ads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,143669.0,,,896.0,,,656.3,,,6.5,,,1410.3,,,,False
2024-01-01,Search Network,3701.0,251.0,496.5,4.5,576.4,Google Ads,0.0,0.0,0.0,0.0,0.06781950824101594,1.9780876494023905,0.017928286852589643,1.1609264853977845,0,0,1,1,3.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,False
2024-01-01,YouTube,36211.0,8.0,115.2,0.0,0.0,Google Ads,0.0,0.0,0.0,0.0,0.00022092734252022867,14.4,0.0,0.0,0,0,1,1,3701.0,,,251.0,,,496.5,,,4.5,,,576.4,,,,False
2024-01-02,Cross-network,183496.0,1172.0,1525.0,8.8,3565.7,Google Ads,0.0,0.0,0.0,0.0,0.006387060208396913,1.3011945392491469,0.007508532423208192,2.3381639344262295,1,0,1,1,36211.0,,,8.0,,,115.2,,,0.0,,,0.0,,,4742.830078125,False
2024-01-02,Display Network,8.0,0.0,0.0,0.0,0.0,Google Ads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,183496.0,,,1172.0,,,1525.0,,,8.8,,,3565.7,,,4742.830078125,False
2024-01-02,Search Network,5764.0,492.0,1256.8,9.4,1266.2,Google Ads,0.0,0.0,0.0,0.0,0.08535739070090215,2.554471544715447,0.01910569105691057,1.0074793125397836,1,0,1,1,8.0,,,0.0,,,0.0,,,0.0,,,0.0,,,4742.830078125,False
2024-01-02,YouTube,36876.0,4.0,120.2,0.0,0.0,Google Ads,0.0,0.0,0.0,0.0,0.00010847163466753444,30.05,0.0,0.0,1,0,1,1,5764.0,143669.0,,492.0,896.0,,1256.8,656.3,,9.4,6.5,,1266.2,1410.3,,4742.830078125,False
2024-01-03,Cross-network,165282.0,988.0,1342.4,20.3,2511.1,Google Ads,0.0,0.0,0.0,0.0,0.005977662419380211,1.3587044534412955,0.020546558704453443,1.870604886769964,2,0,1,1,36876.0,3.0,,4.0,0.0,,120.2,0.0,,0.0,0.0,,0.0,0.0,,4704.81005859375,False
2024-01-03,Display Network,10.0,0.0,0.0,0.0,0.0,Google Ads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1,165282.0,3701.0,,988.0,251.0,,1342.4,496.5,,20.3,4.5,,2511.1,576.4,,4704.81005859375,False
