Date,Impressions,Clicks,Spend,Revenue,Seasonality,CTR,CPC,ROAS,Channel
2024-01-01,86141,771,108.39784881937035,95.73155184004307,0.0,0.008950441717648971,0.14059383763861266,0.8831499230170714,Google Ads
2024-01-02,72811,457,621.6129819898582,1178.9927701396264,0.017213356155834685,0.006276524151570505,1.3602034616845913,1.8966669041652382,Google Ads
2024-01-03,61984,720,895.2274249182827,1610.7977646275438,0.03442161162274574,0.011615900877645843,1.243371423497615,1.7993168213927082,Google Ads
2024-01-04,11396,910,889.6542002807636,1663.4017777673068,0.051619667223253764,0.07985257985257985,0.9776419783305095,1.8697172196144956,Google Ads
2024-01-05,43026,806,837.1955085217423,1072.0213985817907,0.06880242680231986,0.0187328592014131,1.0387041048656853,1.2804911011463576,Google Ads
2024-01-06,34983,71,239.40444176342385,129.66384163762694,0.08596479873744647,0.0020295572135037017,3.371893545963716,0.5416100080789602,Google Ads
2024-01-07,32468,660,846.8329976887243,916.4779926116788,0.10310169744743485,0.020327707281015153,1.28308029952837,1.082241711309122,Google Ads
2024-01-08,68987,216,755.6822793068948,1530.4701104131868,0.1202080448993527,0.00313102468581037,3.4985290708652537,2.0252825192843225,Google Ads
2024-01-09,44798,556,503.28168594669023,688.7369631303209,0.13727877211326478,0.012411268360194651,0.9051828883933277,1.3684920043032818,Google Ads
2024-01-10,38056,206,858.2455186689631,1461.7677209439398,0.15430882066428117,0.005413075467731764,4.16624038188817,1.7032046065454185,Google Ads
2024-01-11,76252,438,928.8002565278825,1925.271266247002,0.1712931441814776,0.005744111629858889,2.1205485308855767,2.072858241280218,Google Ads
2024-01-12,50594,632,630.132707419333,1205.6168284202527,0.1882267098432442,0.012491599794442029,0.997045423131856,1.9132744804785282,Google Ads
2024-01-13,54304,633,587.2108374620959,1093.3910005661262,0.2051044998686192,0.011656599882144961,0.9276632503350647,1.8620075291725247,Google Ads
2024-01-14,79329,910,244.2401676546108,296.6097326601112,0.2219215130041655,0.01147121481425456,0.2683957886314404,1.2144183141880176,Google Ads
2024-01-15,47766,207,366.9506585272592,803.1078423510829,0.2386727660059501,0.004333626428840598,1.772708495300769,2.1885989946831597,Google Ads
2024-01-16,74716,639,547.2214371565782,551.4696658856079,0.255353295116187,0.008552385031318593,0.8563715761448798,1.0077632717590597,Google Ads
2024-01-17,19968,517,809.1599021753025,1247.81290168163,0.2719581575341055,0.025891426282051284,1.565106193762674,1.5421091657249402,Google Ads
2024-01-18,63985,438,853.4639030624486,934.7960135248943,0.288482432880609,0.006845354379932797,1.948547723886869,1.0952964854993927,Google Ads
2024-01-19,89107,520,227.1351584617106,320.39629018718637,0.30492122465628907,0.0058356806984860895,0.43679838165713575,1.4105975154048962,Google Ads
2024-01-20,79026,678,960.6056942477279,2551.6072272833358,0.3212696616923644,0.008579454862956495,1.4168225578875042,2.6562482843510073,Google Ads
2024-01-21,62546,253,579.475047608067,495.6953354426608,0.3375228995941133,0.004045022863172705,2.290415207937024,0.8554213636786802,Google Ads
2024-01-22,20697,637,478.205850344231,1267.090996416403,0.3536761221763716,0.030777407353722763,0.7507156206345855,2.6496769027486846,Google Ads
2024-01-23,13915,780,121.00115101478008,164.24102383146035,0.3697245428906731,0.056054617319439455,0.1551296807881796,1.3573509214916362,Google Ads
2024-01-24,10192,152,413.6923528331,884.7628851751548,0.38566340624360707,0.014913657770800628,2.721660216007237,2.1386977040208994,Google Ads
2024-01-25,57009,541,950.6591440270965,536.8930111846996,0.401487989205973,0.00948972969180305,1.757225774541768,0.5647586882827023,Google Ads
2024-01-26,34871,612,286.33832184027574,628.7881886808385,0.4171936026123168,0.0175504000458834,0.4678730749024113,2.1959624008398952,Google Ads
2024-01-27,90654,290,499.464412207256,337.67358848850495,0.4327755925504312,0.003198976327575176,1.7222910765767447,0.6760713681205882,Google Ads
2024-01-28,77239,506,787.6005668802337,784.3122398554484,0.4482293417404106,0.006551094654254975,1.5565228594471021,0.9958248798146366,Google Ads
2024-01-29,64989,789,492.73933151492946,676.6442683956864,0.4635502709028509,0.012140516087337858,0.6245111933015582,1.373229667530985,Google Ads
2024-01-30,32685,526,328.25149307554443,778.1919854210926,0.47873384011578846,0.016093009025546886,0.6240522682044571,2.370718798960643,Google Ads
2024-01-31,28589,353,333.22071353888396,540.6656817291259,0.4937755501599772,0.012347406345097765,0.9439680270223342,1.6225452373207134,Google Ads
2024-02-01,28673,681,329.2463877593189,676.5955771065682,0.5086709438521044,0.023750566735256166,0.483474871893273,2.0549825366684464,Google Ads
2024-02-02,39560,204,781.771616133619,1501.3634457306957,0.5234156073655503,0.005156723963599595,3.8322138045765635,1.9204629776096724,Google Ads
2024-02-03,42129,533,412.36757031272685,278.8555078360318,0.5380051715382996,0.012651617650549504,0.7736727397987371,0.6762304504802751,Google Ads
2024-02-04,56705,417,412.5059112026833,493.4723632962321,0.5524353131676196,0.00735384886694295,0.9892228086395283,1.1962794953834401,Google Ads
2024-02-05,18188,70,746.384166456606,481.9225119751765,0.5667017562911176,0.003848691444908731,10.662630949380086,0.64567622630992,Google Ads
2024-02-06,35907,12,779.8637026473255,1664.2992698407918,0.5808002734538009,0.0003341966747430863,64.98864188727713,2.134089923907423,Google Ads
2024-02-07,36501,964,520.66058064117,1321.252077343186,0.5947266869607634,0.02641023533601819,0.5401043367646992,2.5376456879376654,Google Ads
2024-02-08,17052,719,369.1555391798334,783.406774964752,0.6084768701151261,0.0421651419188365,0.5134291226423274,2.1221590679778934,Google Ads
2024-02-09,56741,247,949.605182005926,1526.3047963365125,0.6220467484408675,0.004353113269064697,3.8445553927365426,1.607304620128945,Google Ads
2024-02-10,99189,183,696.3320016421478,1574.6772134337423,0.6354323008901774,0.0018449626470677192,3.805092905148349,2.2613885470152284,Google Ads
2024-02-11,23534,916,534.4929525719308,1476.1532009027537,0.6486295610349814,0.03892241013002465,0.5835075901440293,2.7617823468010956,Google Ads
2024-02-12,52367,31,632.1487554601005,1588.4934691401716,0.6616346182422783,0.0005919758626615998,20.391895337422596,2.512847578073628,Google Ads
2024-02-13,8871,849,894.9620877387501,988.7708077410433,0.6744436188329455,0.09570510652688535,1.0541367346746173,1.1048186524183548,Google Ads
2024-02-14,33272,151,908.0304940690687,2455.3008030474184,0.6870527672236669,0.004538350565039673,6.013446980589859,2.703984964254579,Google Ads
2024-02-15,70194,904,474.74016626934673,830.955060626316,0.6994583270516471,0.012878593611989628,0.5251550511829057,1.7503365412625915,Google Ads
2024-02-16,6782,191,640.9397367907638,523.3429235354726,0.7116566222817746,0.028162783839575347,3.3557054282238945,0.8165243836431364,Google Ads
2024-02-17,81841,915,893.2199480473816,770.0094834451019,0.7236440382959124,0.01118021529551203,0.9761966645326575,0.8620603303009261,Google Ads
